Dataset,Type,,Name,Type,SN,SP,ACC,MCC,AUPR,AUC,Dataset,ACC_Rank,MCC_Rank,AUPR_Rank,AUC_Rank
ABP,CLS,135,esm2_t48_15B_UR50D,CLS,0.9256637168141592,0.9191740412979352,0.9224188790560472,0.8448555492203913,0.9608100995337916,0.956811026705302,ABP,6.0,6.0,19.0,19.0
ABP,CLS,137,esm2_t36_3B_UR50D,CLS,0.9185840707964602,0.8979351032448377,0.908259587020649,0.8166933033931582,0.9378328522450944,0.9259900279322316,ABP,12.0,12.0,21.0,21.0
ABP,CLS,139,esm2_t33_650M_UR50D,CLS,0.9103244837758112,0.9056047197640118,0.9079646017699116,0.8159382915814307,0.968144393810648,0.9628196761253384,ABP,13.0,13.0,16.0,16.0
ABP,CLS,141,esm2_t30_150M_UR50D,CLS,0.9221238938053096,0.9339233038348084,0.928023598820059,0.8561067959099613,0.9801950581596848,0.9754394758138198,ABP,3.0,3.0,3.0,3.0
ABP,CLS,143,esm2_t12_35M_UR50D,CLS,0.911504424778761,0.9410029498525072,0.9262536873156342,0.8528785270506036,0.9778792630673092,0.97311022354487,ABP,5.0,5.0,5.0,5.0
ABP,CLS,145,esm2_t6_8M_UR50D,CLS,0.904424778761062,0.950442477876106,0.927433628318584,0.8557738424401081,0.9779628313957144,0.9729852681407226,ABP,4.0,4.0,4.0,6.0
ABP,CLS,147,esm1v_t33_650M_UR90S_1,CLS,0.9162241887905604,0.8943952802359882,0.9053097345132743,0.8108126686687933,0.9715237612031556,0.9664740125825568,ABP,19.0,19.0,11.0,11.0
ABP,CLS,149,esm1v_t33_650M_UR90S_2,CLS,0.91976401179941,0.8955752212389381,0.907669616519174,0.8155778642700177,0.9701831200151784,0.9645370297856788,ABP,14.5,15.0,14.0,14.0
ABP,CLS,151,esm1v_t33_650M_UR90S_3,CLS,0.9256637168141592,0.9002949852507375,0.9129793510324484,0.8262246125916985,0.9750873277081744,0.9701433158430574,ABP,8.0,8.0,7.0,7.0
ABP,CLS,153,esm1v_t33_650M_UR90S_4,CLS,0.9162241887905604,0.8973451327433628,0.9067846607669616,0.813714345985403,0.9724136782704572,0.9672178278991655,ABP,16.0,16.0,9.0,10.0
ABP,CLS,155,esm1v_t33_650M_UR90S_5,CLS,0.9227138643067848,0.8943952802359882,0.9085545722713864,0.8174369788881529,0.9690140514296126,0.9659348595992028,ABP,11.0,11.0,15.0,13.0
ABP,CLS,157,esm1b_t33_650M_UR50S,CLS,0.9250737463126844,0.910914454277286,0.9179941002949852,0.8360720149703491,0.977384932751035,0.9731815769093553,ABP,7.0,7.0,6.0,4.0
ABP,CLS,159,esm1_t34_670M_UR50S,CLS,0.9215339233038348,0.8938053097345132,0.907669616519174,0.815652861294214,0.9727430937795002,0.9677411439162554,ABP,14.5,14.0,8.0,8.0
ABP,CLS,161,esm1_t34_670M_UR50D,CLS,0.9215339233038348,0.8908554572271387,0.9061946902654868,0.8127719481558636,0.9716185054100944,0.9674132665048164,ABP,17.0,17.0,10.0,9.0
ABP,CLS,163,esm1_t34_670M_UR100,CLS,0.9221238938053096,0.896165191740413,0.9091445427728614,0.8185649287359558,0.9713101317062278,0.9662630850758348,ABP,10.0,10.0,12.0,12.0
ABP,CLS,165,esm1_t12_85M_UR50S,CLS,0.9221238938053096,0.9433628318584072,0.9327433628318584,0.8656819990118642,0.9806032455258342,0.9757175799027158,ABP,2.0,2.0,2.0,2.0
ABP,CLS,167,esm1_t6_43M_UR50S,CLS,0.9215339233038348,0.9463126843657818,0.9339233038348084,0.8681131536851896,0.9825859456612296,0.9782250415502824,ABP,1.0,1.0,1.0,1.0
ABP,CLS,169,Tape_bert-base,CLS,0.9085545722713864,0.913274336283186,0.910914454277286,0.8218380623087007,0.970860490612966,0.9639223466555285,ABP,9.0,9.0,13.0,15.0
ABP,CLS,171,ProtTrans_Prot_albert,CLS,0.913274336283186,0.8979351032448377,0.9056047197640118,0.8113048919469499,0.9463008668070088,0.9388019596070344,ABP,18.0,18.0,20.0,20.0
ABP,CLS,173,ProtTrans_Prot_bert_bfd,CLS,0.8991150442477877,0.9073746312684364,0.903244837758112,0.806517186600309,0.9628763865749748,0.9587953463683748,ABP,20.0,20.0,18.0,18.0
ABP,CLS,175,ProtTrans_Prot_bert,CLS,0.8949852507374632,0.9097345132743364,0.9023598820058996,0.804807307963984,0.9660051508588188,0.9599867735226808,ABP,21.0,21.0,17.0,17.0
ABP,Mean,136,esm2_t48_15B_UR50D,Mean,0.936283185840708,0.935103244837758,0.935693215339233,0.8713870372776712,0.9636115311764892,0.9593538169699184,ABP,1.0,1.0,22.0,21.0
ABP,Mean,138,esm2_t36_3B_UR50D,Mean,0.9303834808259588,0.8991150442477877,0.9147492625368732,0.8299043292961955,0.9446125723697504,0.9380666718876446,ABP,14.0,14.0,24.0,24.0
ABP,Mean,140,esm2_t33_650M_UR50D,Mean,0.9233038348082596,0.9067846607669616,0.9150442477876106,0.8302017773257977,0.9717630734031704,0.9667942325597584,ABP,13.0,13.0,18.0,15.0
ABP,Mean,142,esm2_t30_150M_UR50D,Mean,0.9179941002949852,0.9321533923303836,0.9250737463126844,0.8502327265859373,0.9797340939261096,0.9739803865263964,ABP,4.0,4.0,2.0,2.0
ABP,Mean,144,esm2_t12_35M_UR50D,Mean,0.9179941002949852,0.9380530973451328,0.928023598820059,0.8562194706436385,0.981109724115331,0.9761825950000436,ABP,3.0,3.0,1.0,1.0
ABP,Mean,146,esm2_t6_8M_UR50D,Mean,0.9150442477876106,0.9457227138643068,0.9303834808259588,0.8611723110816304,0.97916631828165,0.9732087259943788,ABP,2.0,2.0,3.0,3.0
ABP,Mean,148,esm1v_t33_650M_UR90S_1,Mean,0.9191740412979352,0.9203539823008848,0.91976401179941,0.8395286080203967,0.9744349290461076,0.969508096866543,ABP,7.0,7.0,12.0,12.0
ABP,Mean,150,esm1v_t33_650M_UR90S_2,Mean,0.9244837758112094,0.896165191740413,0.9103244837758112,0.8209782221179933,0.9751517446674556,0.9700100068742876,ABP,19.0,19.0,11.0,11.0
ABP,Mean,152,esm1v_t33_650M_UR90S_3,Mean,0.9244837758112094,0.903244837758112,0.9138643067846608,0.8279153678347958,0.97579404905752,0.97012765290939,ABP,15.0,15.0,9.0,10.0
ABP,Mean,154,esm1v_t33_650M_UR90S_4,Mean,0.9250737463126844,0.9056047197640118,0.915339233038348,0.8308359422725263,0.9761874506005108,0.9713785992116324,ABP,11.5,11.0,8.0,8.0
ABP,Mean,156,esm1v_t33_650M_UR90S_5,Mean,0.9191740412979352,0.8967551622418879,0.9079646017699116,0.8161343263780497,0.973633328072265,0.9678347734530678,ABP,21.0,21.0,13.0,13.0
ABP,Mean,158,esm1b_t33_650M_UR50S,Mean,0.9191740412979352,0.8920353982300885,0.9056047197640118,0.8115083349303079,0.9698929081808936,0.9648896198257932,ABP,23.0,23.0,20.0,20.0
ABP,Mean,160,esm1_t34_670M_UR50S,Mean,0.9233038348082596,0.9079646017699116,0.9156342182890856,0.8313662492750927,0.9757837506494608,0.9712571244594111,ABP,10.0,10.0,10.0,9.0
